,Election,CandidateID,CandidateName,Date,Name,ContributerType,BoroughName,City,State,ZipCode,ContributionState,Amount,MatchAmt,PrevAmt,PayMethod,TotalAmount
105,2017,326.0,"de Blasio, Bill",,Local 108 RWDSU AFL CIO,Labor Union,Other,Maplewood,NJ,7040.0,,1000.0,0.0,0.0,Check,1000.0
106,2017,326.0,"de Blasio, Bill",,Local 1102 RWDSU,Labor Union,Other,Woodbury,NY,11797.0,,2000.0,0.0,0.0,Check,2000.0
107,2017,326.0,"de Blasio, Bill",,Local 1102 RWDSU,Labor Union,Other,Woodbury,NY,11797.0,,1000.0,0.0,2000.0,Check,3000.0
108,2017,326.0,"de Blasio, Bill",,Local 1109 CWA,Labor Union,Brooklyn,Brooklyn,NY,11234.0,,1500.0,0.0,0.0,Check,1500.0
109,2017,326.0,"de Blasio, Bill",,Local 1109 CWA,Labor Union,Brooklyn,Brooklyn,NY,11234.0,,3450.0,0.0,1500.0,Check,4950.0
110,2017,326.0,"de Blasio, Bill",,Local 1157– NYC Dept of Transp,Labor Union,Manhattan,New York,NY,10007.0,,500.0,0.0,0.0,Check,500.0
111,2017,,"Albanese, Sal F",,Local 1181 CWA,Political Action Committee,Queens,Astoria,NY,11106.0,,1000.0,0.0,0.0,Check,1000.0
112,2017,326.0,"de Blasio, Bill",,Local 1182 Political Action,Political Action Committee,Queens,Forest Hills,NY,11375.0,,1500.0,0.0,0.0,Check,1500.0
113,2017,326.0,"de Blasio, Bill",,Local 1182 Political Action,Political Action Committee,Queens,Forest Hills,NY,11375.0,,1500.0,0.0,1500.0,Check,3000.0
114,2017,326.0,"de Blasio, Bill",,Local 1407 AFSCME Political Co,Political Action Committee,Manhattan,New York,NY,10007.0,,1000.0,0.0,0.0,Check,1000.0
115,2017,326.0,"de Blasio, Bill",,Local 147 Political Action Fun,Political Action Committee,Bronx,Bronx,NY,10470.0,,4950.0,0.0,0.0,Check,4950.0
116,2017,326.0,"de Blasio, Bill",,Local 1500 Political Candidate,Political Action Committee,Other,Westbury,NY,11590.0,,2000.0,0.0,0.0,Check,2000.0
117,2017,326.0,"de Blasio, Bill",,Local 1500 Political Candidate,Political Action Committee,Other,Westbury,NY,11590.0,,1000.0,0.0,2000.0,Check,3000.0
118,2017,326.0,"de Blasio, Bill",,Local 1505 American Federation,Labor Union,Manhattan,New York,NY,10007.0,,2000.0,0.0,0.0,Check,2000.0
119,2017,326.0,"de Blasio, Bill",,Local 1505 American Federation,Labor Union,Manhattan,New York,NY,10007.0,,1000.0,0.0,2000.0,Check,3000.0
120,2017,326.0,"de Blasio, Bill",,Local 1549 AFSCME,Labor Union,Manhattan,New York,NY,10007.0,,4950.0,0.0,0.0,Check,4950.0
